branch_type,baseline_or_variant,weighting,metric,site,delta_178D_minus_111D,direction_positive
terminal_sequence_pairtype_stratum,canonical_pooled,structure_equal,D_mahalanobis,4,5.120650091030278,True
terminal_sequence_pairtype_stratum,canonical_pooled,structure_equal,D_diagonal,9,2.23658205696411,True
terminal_sequence_pairtype_stratum,canonical_pooled,structure_equal,D_mahalanobis,9,2.465061894495989,True
terminal_sequence_pairtype_stratum,canonical_pooled,family_B_equal,D_diagonal,4,3.265060650907479,True
terminal_sequence_pairtype_stratum,canonical_pooled,family_B_equal,D_mahalanobis,4,4.419367880308048,True
terminal_sequence_pairtype_stratum,canonical_pooled,family_B_equal,D_diagonal,9,1.849331292803594,True
terminal_sequence_pairtype_stratum,canonical_pooled,family_B_equal,D_mahalanobis,9,2.0360491096278928,True
leave_one_variable_out,omit_oriented_shear_A,pair_equal,D_diagonal,4,4.208379438305201,True
leave_one_variable_out,omit_oriented_stretch_A,pair_equal,D_diagonal,4,-1.294562971951997,False
leave_one_variable_out,omit_oriented_stagger_A,pair_equal,D_diagonal,4,4.2727921594050216,True
leave_one_variable_out,omit_oriented_buckle_deg,pair_equal,D_diagonal,4,4.267910310072011,True
leave_one_variable_out,omit_oriented_propeller_deg,pair_equal,D_diagonal,4,4.203428554207527,True
leave_one_variable_out,omit_oriented_opening_deg,pair_equal,D_diagonal,4,6.408317563640161,True
leave_one_variable_out,omit_oriented_shear_A,pair_equal,D_diagonal,9,2.368027142848806,True
leave_one_variable_out,omit_oriented_stretch_A,pair_equal,D_diagonal,9,-0.6282684417822395,False
leave_one_variable_out,omit_oriented_stagger_A,pair_equal,D_diagonal,9,2.295602595637618,True
leave_one_variable_out,omit_oriented_buckle_deg,pair_equal,D_diagonal,9,2.3078742788765005,True
leave_one_variable_out,omit_oriented_propeller_deg,pair_equal,D_diagonal,9,2.4571086296913727,True
leave_one_variable_out,omit_oriented_opening_deg,pair_equal,D_diagonal,9,3.1843743743585406,True
